"table_name","column_name","data_type","column_default","is_nullable","character_maximum_length","numeric_precision","numeric_scale","table_description","column_description"
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('twinstar.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_drf.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('venuplus.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('xrg.cap_structure_id_seq'::regclass),NO,,32,0,,
cap_structure,id,integer,nextval('affinity_gaming.cap_structure_id_seq'::regclass),NO,,32,0,,
